Title,Director,Cast,Year,Language,movie_info
Tungabhadra,Srinivas Gogineni,"Adith Arun, Dimple Chopade",2015,Telugu,"Movie Title: Tungabhadra. Directed by: Srinivas Gogineni. Starring: Adith Arun, Dimple Chopade. Released in: 2015."
Tej I Love You,A. Karunakaran,"Sai Dharam Tej, Anupama Parameswaran, Surekha Vani, Jayaprakash, Pavitra Lokesh",2018,Telugu,"Movie Title: Tej I Love You. Directed by: A. Karunakaran. Starring: Sai Dharam Tej, Anupama Parameswaran, Surekha Vani, Jayaprakash, Pavitra Lokesh. Released in: 2018."
RX 100,Ajay Bhupathi,"Karthikeya, Payal Rajput, Rao Ramesh, Ramki",2018,Telugu,"Movie Title: RX 100. Directed by: Ajay Bhupathi. Starring: Karthikeya, Payal Rajput, Rao Ramesh, Ramki. Released in: 2018."
Vijetha,Rakesh Shashii,"Kalyaan Dhev, Malavika Nair, Murali Sharma, Nassar",2018,Telugu,"Movie Title: Vijetha. Directed by: Rakesh Shashii. Starring: Kalyaan Dhev, Malavika Nair, Murali Sharma, Nassar. Released in: 2018."
Aatagadharaa Siva,Chandra Siddhartha,"Uday Shankar, Doddanna, Hyper Aadi, Chammak Chandra",2018,Telugu,"Movie Title: Aatagadharaa Siva. Directed by: Chandra Siddhartha. Starring: Uday Shankar, Doddanna, Hyper Aadi, Chammak Chandra. Released in: 2018."
Lover,Aneesh Krishna,"Raj Tarun, Riddhi Kumar",2018,Telugu,"Movie Title: Lover. Directed by: Aneesh Krishna. Starring: Raj Tarun, Riddhi Kumar. Released in: 2018."
W/O Ram,Vijay Yelakanti,"Lakshmi Manchu, Samrat Reddy",2018,Telugu,"Movie Title: W/O Ram. Directed by: Vijay Yelakanti. Starring: Lakshmi Manchu, Samrat Reddy. Released in: 2018."
Saakshyam,Sriwass,"Bellamkonda Sreenivas, Pooja Hegde, Sarath Kumar, Meena, Jagapathi Babu, Ravi Kishan, Ashutosh Rana",2018,Telugu,"Movie Title: Saakshyam. Directed by: Sriwass. Starring: Bellamkonda Sreenivas, Pooja Hegde, Sarath Kumar, Meena, Jagapathi Babu, Ravi Kishan, Ashutosh Rana. Released in: 2018."
Happy Wedding,Lakshman Karya,"Sumanth Ashwin, Niharika Konidela, Naresh, Murli Sharma",2018,Telugu,"Movie Title: Happy Wedding. Directed by: Lakshman Karya. Starring: Sumanth Ashwin, Niharika Konidela, Naresh, Murli Sharma. Released in: 2018."
Brand Babu,Prabhakar Podakandla,"Sumanth Shailendra, Eesha Rebba, Nalini, Murli Sharma",2018,Telugu,"Movie Title: Brand Babu. Directed by: Prabhakar Podakandla. Starring: Sumanth Shailendra, Eesha Rebba, Nalini, Murli Sharma. Released in: 2018."
Chi La Sow,Rahul Ravindran,"Sushanth, Ruhani Sharma, Vennela Kishore, Anu Haasan, Vidyullekha Raman",2018,Telugu,"Movie Title: Chi La Sow. Directed by: Rahul Ravindran. Starring: Sushanth, Ruhani Sharma, Vennela Kishore, Anu Haasan, Vidyullekha Raman. Released in: 2018."
Goodachari,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Prakash Raj, Jagapathi Babu, Madhu Shalini, Vennela Kishore",2018,Telugu,"Movie Title: Goodachari. Directed by: Sashi Kiran Tikka. Starring: Adivi Sesh, Sobhita Dhulipala, Prakash Raj, Jagapathi Babu, Madhu Shalini, Vennela Kishore. Released in: 2018."
Siva Kasipuram,Hareesh Vattikutti,"Rajesh Sri Chakravarthy, Priyanka Sharma, Chammak Chandra",2018,Telugu,"Movie Title: Siva Kasipuram. Directed by: Hareesh Vattikutti. Starring: Rajesh Sri Chakravarthy, Priyanka Sharma, Chammak Chandra. Released in: 2018."
Tharuvatha Evaru,G. Krishna Reddy Rajesh Koduru,"Manoj, Priyanka Sharma, Kamal Kamaraju",2018,Telugu,"Movie Title: Tharuvatha Evaru. Directed by: G. Krishna Reddy Rajesh Koduru. Starring: Manoj, Priyanka Sharma, Kamal Kamaraju. Released in: 2018."
Srinivasa Kalyanam,Satish Vegesna,"Nithiin, Raashi Khanna, Nandita Swetha, Prakash Raj",2018,Telugu,"Movie Title: Srinivasa Kalyanam. Directed by: Satish Vegesna. Starring: Nithiin, Raashi Khanna, Nandita Swetha, Prakash Raj. Released in: 2018."
Geetha Govindam,Parasuram,"Vijay Devarakonda, Rashmika Mandanna, Nagendra Babu",2018,Telugu,"Movie Title: Geetha Govindam. Directed by: Parasuram. Starring: Vijay Devarakonda, Rashmika Mandanna, Nagendra Babu. Released in: 2018."
Aatagallu,Paruchuri Murali,"Nara Rohit, Jagapathi Babu, Darshana Banik, Brahmanandam",2018,Telugu,"Movie Title: Aatagallu. Directed by: Paruchuri Murali. Starring: Nara Rohit, Jagapathi Babu, Darshana Banik, Brahmanandam. Released in: 2018."
Anthaku Minchi,Jhony,"Jai, Rashmi Gautam",2018,Telugu,"Movie Title: Anthaku Minchi. Directed by: Jhony. Starring: Jai, Rashmi Gautam. Released in: 2018."
Divya Mani,Giridhar Gopal,"Suresh Kamal, Vaishali Deepak",2018,Telugu,"Movie Title: Divya Mani. Directed by: Giridhar Gopal. Starring: Suresh Kamal, Vaishali Deepak. Released in: 2018."
Aghora,Rao Durgam,"Yuvaraj Rejeti, Nagendra Babu, Ponnambalam, Uttej, Jackee",2018,Telugu,"Movie Title: Aghora. Directed by: Rao Durgam. Starring: Yuvaraj Rejeti, Nagendra Babu, Ponnambalam, Uttej, Jackee. Released in: 2018."
Pantham,K. Chakravarthy,"Gopichand, Mehreen Pirzada, Sampath Raj, Mukesh Rishi, Pavitra Lokesh, Jaya Prakash Reddy, Ashish Vidyarthi, Sayaji Shinde",2018,Telugu,"Movie Title: Pantham. Directed by: K. Chakravarthy. Starring: Gopichand, Mehreen Pirzada, Sampath Raj, Mukesh Rishi, Pavitra Lokesh, Jaya Prakash Reddy, Ashish Vidyarthi, Sayaji Shinde. Released in: 2018."
Super Sketch,Ravi Chavali,"Narsing Makkala, Gary Tantony, Indrasena",2018,Telugu,"Movie Title: Super Sketch. Directed by: Ravi Chavali. Starring: Narsing Makkala, Gary Tantony, Indrasena. Released in: 2018."
Endaro Mahanubhavulu,Thallada Sai Krishna,"Thallada Sai Krishna, Anisha, Indu, Shalini, Tanikella Bharani",2018,Telugu,"Movie Title: Endaro Mahanubhavulu. Directed by: Thallada Sai Krishna. Starring: Thallada Sai Krishna, Anisha, Indu, Shalini, Tanikella Bharani. Released in: 2018."
Junction Lo Jayamalini,Narra Sivanageswara Rao,"Ravikanth, Kavya Kapoor",2018,Telugu,"Movie Title: Junction Lo Jayamalini. Directed by: Narra Sivanageswara Rao. Starring: Ravikanth, Kavya Kapoor. Released in: 2018."
Naa Peru Surya,Vakkantham Vamsi,"Allu Arjun, Arjun Sarja, Anu Emmanuel, R. Sarathkumar, Boman Irani, Thakur Anoop Singh, Sai Kumar, Pradeep Rawat, Harish Uthaman, Rao Ramesh, Nadhiya, Vennela Kishore",2018,Telugu,"Movie Title: Naa Peru Surya. Directed by: Vakkantham Vamsi. Starring: Allu Arjun, Arjun Sarja, Anu Emmanuel, R. Sarathkumar, Boman Irani, Thakur Anoop Singh, Sai Kumar, Pradeep Rawat, Harish Uthaman, Rao Ramesh, Nadhiya, Vennela Kishore. Released in: 2018."
Mahanati,Nag Ashwin,"Keerthi Suresh, Dulquer Salman, Samantha Akkineni, Vijay Devarakonda, Rajendra Prasad",2018,Telugu,"Movie Title: Mahanati. Directed by: Nag Ashwin. Starring: Keerthi Suresh, Dulquer Salman, Samantha Akkineni, Vijay Devarakonda, Rajendra Prasad. Released in: 2018."
Mehbooba,Puri Jagannadh,"Akash Puri, Neha Shetty, Vishnu Reddy, Sayaji Shinde",2018,Telugu,"Movie Title: Mehbooba. Directed by: Puri Jagannadh. Starring: Akash Puri, Neha Shetty, Vishnu Reddy, Sayaji Shinde. Released in: 2018."
Annadata Sukhibhava,R. Narayana Murthy,R. Narayana Murthy,2018,Telugu,Movie Title: Annadata Sukhibhava. Directed by: R. Narayana Murthy. Starring: R. Narayana Murthy. Released in: 2018.
Seenugadi Prema,R. K.,"Srinivasa Rao, Bindu Barbie",2018,Telugu,"Movie Title: Seenugadi Prema. Directed by: R. K.. Starring: Srinivasa Rao, Bindu Barbie. Released in: 2018."
Nela Ticket,Kalyan Krishna,"Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj, Priyadarshi Pullikonda, Ali",2018,Telugu,"Movie Title: Nela Ticket. Directed by: Kalyan Krishna. Starring: Ravi Teja, Malvika Sharma, Jagapathi Babu, Sampath Raj, Priyadarshi Pullikonda, Ali. Released in: 2018."
Neevevaro,Hari Nath,"Aadhi Pinisetty, Taapsee Pannu, Ritika Singh, Vennela Kishore",2018,Telugu,"Movie Title: Neevevaro. Directed by: Hari Nath. Starring: Aadhi Pinisetty, Taapsee Pannu, Ritika Singh, Vennela Kishore. Released in: 2018."
Ammammagarillu,Sundar Surya,"Naga Shourya, Shamili, Sumithra, Rao Ramesh, Posani Krishna Murali",2018,Telugu,"Movie Title: Ammammagarillu. Directed by: Sundar Surya. Starring: Naga Shourya, Shamili, Sumithra, Rao Ramesh, Posani Krishna Murali. Released in: 2018."
Raju Gadu,Sanjana Reddy,"Raj Tarun, Amyra Dastur, Rajendra Prasad",2018,Telugu,"Movie Title: Raju Gadu. Directed by: Sanjana Reddy. Starring: Raj Tarun, Amyra Dastur, Rajendra Prasad. Released in: 2018."
Best Lovers,Nandi Venkat Reddy,"Sri Karan, Amrutha, Divya",2018,Telugu,"Movie Title: Best Lovers. Directed by: Nandi Venkat Reddy. Starring: Sri Karan, Amrutha, Divya. Released in: 2018."
Naa... Nuvve,Jayendra Panchapakesan,"Nandamuri Kalyan Ram, Tamannaah, Posani Krishna Murali, Tanikella Bharani, Surekha Vani",2018,Telugu,"Movie Title: Naa... Nuvve. Directed by: Jayendra Panchapakesan. Starring: Nandamuri Kalyan Ram, Tamannaah, Posani Krishna Murali, Tanikella Bharani, Surekha Vani. Released in: 2018."
Sammohanam,Mohan Krishna Indraganti,"Sudheer Babu, Aditi Rao Hydari",2018,Telugu,"Movie Title: Sammohanam. Directed by: Mohan Krishna Indraganti. Starring: Sudheer Babu, Aditi Rao Hydari. Released in: 2018."
Jamba Lakidi Pamba,J. B. Murali Krishna,"Srinivas Reddy, Siddhi Idnani, Posani Krishna Murali, Vennela Kishore, Raghu Babu",2018,Telugu,"Movie Title: Jamba Lakidi Pamba. Directed by: J. B. Murali Krishna. Starring: Srinivas Reddy, Siddhi Idnani, Posani Krishna Murali, Vennela Kishore, Raghu Babu. Released in: 2018."
